,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
460,2153603.5,65.56,1.0,1,82852,83.0,94,Warehouse
461,3978277.0,132.6,1.0,2,76442,45.6,63,Other
462,3155496.0,74.18,1.0,2,92792,56.0,54,Other
463,2244317.0,15.65,2.0,2,125519,62.0,75,Other
464,4374646.0,30.5,1.0,4,129000,80.0,116,Large Office
465,861972.875,16.48,1.0,1,78814,69.0,62,Warehouse
466,1776411.75,41.18,1.0,4,58970,50.8,112,Small- and Mid-Sized Office
467,2688675.75,18.74,1.0,6,75600,15.0,106,Other
468,1056782.125,7.37,1.0,4,56270,86.4,109,Other
469,5608600.5,138.35,1.0,4,66842,31.0,112,Small- and Mid-Sized Office
470,2891605.0,20.18,1.0,6,75288,81.0,107,Small- and Mid-Sized Office
471,9722890.0,67.78,1.0,7,184322,81.0,112,Large Office
472,25567108.0,182.14,1.0,7,287853,43.0,7,Large Office
473,5968153.5,180.76,1.0,2,64512,53.0,102,Small- and Mid-Sized Office
474,63835192.0,445.62,1.0,6,286000,72.2,7,Mixed Use Property
475,3929371.0,98.43,1.0,7,144050,26.0,90,Warehouse
476,5049446.5,47.25,1.0,3,60592,16.0,86,Small- and Mid-Sized Office
477,74130576.0,810.7,0.0,6,1380959,79.0,104,Large Office
478,7221482.5,100.42,1.0,1,107930,57.0,23,Retail Store
479,1618110.375,49.25,1.0,1,99084,83.0,90,Warehouse
480,2581741.75,42.74,1.0,1,72719,28.0,63,Other
481,2773647.5,33.41,0.0,4,76624,91.0,86,Small- and Mid-Sized Office
482,8570571.0,59.75,1.0,6,91706,2.0,15,Small- and Mid-Sized Office
483,19248732.0,477.85,1.0,5,129093,6.0,8,Other
484,8381834.5,58.43,1.0,5,138106,41.0,25,Large Office
485,2409429.0,67.29,1.0,1,56572,66.0,43,Retail Store
487,20560622.0,692.12,1.0,0,225982,53.0,12,Other
488,39403320.0,734.72,0.0,0,516407,31.0,10,Mixed Use Property
489,25747022.0,185.39,1.0,11,312512,61.6,16,Large Office
490,56498868.0,481.06,1.0,42,1592914,97.0,11,Large Office
491,2478025.25,17.28,1.0,6,97720,53.8,90,Small- and Mid-Sized Office
492,17254810.0,190.1,1.0,10,422503,46.0,31,Other
493,5792926.0,40.38,1.0,7,94500,68.0,29,Other
494,5417598.0,94.74,0.0,1,94713,79.0,11,Retail Store
495,14751117.0,130.32,1.0,9,302902,58.0,8,Other
496,15067340.0,357.39,1.0,19,319911,50.0,43,Other
497,8138616.5,282.46,1.0,6,205521,94.0,116,Large Office
498,3065954.5,21.37,1.0,6,56700,55.0,116,Small- and Mid-Sized Office
499,2729167.75,23.48,1.0,4,72000,89.0,91,Small- and Mid-Sized Office
500,5101504.5,35.56,1.0,4,191146,93.0,16,Large Office
501,9029489.0,310.19,1.0,3,68763,32.4,15,Other
502,20725996.0,530.62,3.0,1,102133,52.2,22,Other
504,15725581.0,116.95,1.0,14,362046,86.0,8,Large Office
506,13085297.0,270.17,3.0,2,81336,82.0,22,Other
507,16020642.0,111.69,1.0,23,538933,90.0,15,Large Office
509,5233553.5,36.49,1.0,6,275982,69.4,33,Other
510,4391348.0,30.61,1.0,5,98668,91.0,34,Small- and Mid-Sized Office
511,8751704.0,98.54,1.0,1,158931,12.0,9,Large Office
512,22078064.0,357.86,1.0,1,105100,1.0,38,Large Office
514,2661488.0,60.7,1.0,1,50660,51.0,38,Retail Store
515,2203026.5,55.73,1.0,2,61929,59.0,79,Small- and Mid-Sized Office
516,25478086.0,177.62,1.0,4,165111,1.0,16,Large Office
517,27137190.0,189.18,1.0,4,129551,1.0,16,Large Office
518,802312.5,5.59,1.0,3,20565,65.0,91,Small- and Mid-Sized Office
519,7857972.5,54.78,1.0,5,159937,63.0,16,Large Office
520,14856199.0,103.57,1.0,5,183964,56.0,8,Large Office
521,5514308.5,116.74,1.0,5,208210,95.0,30,Large Office
522,12729858.0,88.74,1.0,7,277486,63.0,30,Large Office
523,10053489.0,70.09,1.0,3,187130,77.0,23,Large Office
524,17186624.0,119.81,1.0,5,251044,99.0,16,Large Office
525,1262235.25,8.8,1.0,5,154330,81.0,104,Warehouse
526,4515180.5,50.17,1.0,6,108245,63.4,98,Large Office
527,6797647.0,47.39,1.0,6,167860,70.0,111,Large Office
528,4946798.5,97.82,1.0,6,112560,86.0,106,Large Office
529,3241917.0,69.02,1.0,6,86204,89.0,106,Retail Store
530,8384523.0,119.46,1.0,2,145158,51.0,31,Warehouse
531,10287986.0,157.48,1.0,2,112896,66.0,65,Large Office
532,1015060.188,7.08,1.0,1,110613,95.0,56,Other
533,2417401.25,95.86,1.0,4,149881,97.0,65,Warehouse
534,6468090.0,75.29,1.0,3,98220,12.0,65,Warehouse
535,2848317.25,19.86,1.0,1,84420,55.0,46,Other
536,5197118.0,155.74,1.0,1,73335,60.8,55,Other
537,1791715.625,48.5,1.0,2,56876,66.8,88,Other
538,4912143.0,178.62,1.0,2,61200,16.0,85,Warehouse
539,1555420.25,34.14,1.0,1,111908,87.0,29,Other
540,6858533.5,168.5,3.0,2,63644,65.2,30,Other
541,3639670.25,25.37,3.0,2,108753,63.8,86,Mixed Use Property
542,16865978.0,293.56,1.0,1,141890,91.0,46,Other
543,4817062.0,33.58,1.0,4,92092,5.0,15,Small- and Mid-Sized Office
544,2346571.5,86.9,0.0,3,56259,56.6,42,Warehouse
545,25631512.0,710.7,1.0,6,143439,41.6,10,Other
546,8873485.0,61.86,1.0,4,202623,73.0,8,Large Office
547,5481549.0,38.21,1.0,2,77174,33.0,16,Small- and Mid-Sized Office
548,6859198.0,47.82,1.0,5,110524,57.0,18,Large Office
549,21042926.0,314.43,1.0,5,287224,57.0,8,Mixed Use Property
550,36436388.0,1154.79,1.0,4,115748,38.4,17,Other
551,8655604.0,68.06,1.0,7,241875,88.0,16,Large Office
552,4750799.0,65.03,1.0,5,102930,85.0,42,Large Office
553,12029600.0,260.13,1.0,3,76893,71.2,114,Small- and Mid-Sized Office
554,9343428.0,119.93,1.0,8,150000,65.0,41,Large Office
555,16540550.0,147.82,1.0,7,274362,82.0,63,Large Office
556,17750994.0,246.83,1.0,15,378002,85.0,33,Large Office
557,11480494.0,346.62,1.0,11,169020,83.0,53,Large Office
558,274682208.0,1921.82,1.0,33,429405,98.0,35,Other
559,92937640.0,882.56,1.0,76,1952220,86.0,31,Large Office
560,15878689.0,110.7,1.0,19,383515,90.0,35,Large Office
561,22104512.0,582.28,1.0,18,363934,68.0,91,Other
562,8303666.5,109.85,1.0,4,78920,80.0,87,Retail Store
564,46510960.0,324.25,1.0,0,947987,72.4,17,Other
565,3686962.25,150.88,1.0,4,55520,57.6,108,Mixed Use Property
566,3775187.5,133.8,1.0,10,132998,97.0,108,Large Office
567,2443141.5,27.82,1.0,3,83118,59.0,76,Retail Store
